Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,1800,847,571,1766303186250,1766303186311,6215696,3373818,1286691
2,0,675,2000,0,640,1766303191281,1766303191333,14539889,0,2211119
3,0,820,2000,706,24,1766303196286,1766303196350,15867107,3451614,191273
4,0,1067,2000,0,343,1766303201317,1766303201375,17857624,0,1348169
5,0,1604,2000,602,371,1766303206339,1766303206402,16171770,3504061,1904952
6,0,1535,2000,0,153,1766303211327,1766303211380,21295359,0,1255303
7,0,2300,2000,584,342,1766303216307,1766303216370,19034124,3892742,2375911
8,0,2021,2000,0,344,1766303221358,1766303221418,22559307,0,3072508
9,0,2520,2000,661,447,1766303226306,1766303226373,23149043,4981752,3273669
10,0,3010,2000,21,235,1766303231332,1766303231397,24481243,263633,2199030
11,0,3391,2000,636,462,1766303236316,1766303236381,24828078,5355439,3617197
13,1,2390,2000,0,70,1766303246391,1766303246442,36823542,0,1042453
14,1,1420,2000,203,816,1766303251326,1766303251396,48633560,5362228,18391697
15,1,2133,2000,376,496,1766303256341,1766303256395,21043220,4500291,5683405
16,1,2027,2000,0,319,1766303261354,1766303261416,22160901,0,2358115
17,1,2530,2000,319,285,1766303266346,1766303266421,20723604,2433345,2503461
18,1,2509,2000,0,262,1766303271400,1766303271463,24313573,0,2221252
19,1,2445,2000,323,184,1766303276365,1766303276429,22309526,2750973,1506076
20,1,3107,2000,0,112,1766303281366,1766303281423,26324556,0,737489
21,1,2647,2000,307,373,1766303286356,1766303286417,22531996,2882022,3131797
22,1,814,2000,0,0,1766303291369,1766303291432,28896583,0,0
23,1,0,978,0,476,1766303296298,1766303296342,13349161,0,3644890
25,2,0,703,38,589,1766303306257,1766303306291,13007920,1056670,9705853
26,2,0,43,18,19,1766303311207,1766303311248,276827,60471,10697
27,2,0,132,0,132,1766303316214,1766303316256,592796,0,592796
28,2,0,35,0,35,1766303321208,1766303321260,134880,0,134880
29,2,0,0,0,0,1766303326204,1766303326253,0,0,0
30,2,0,0,0,0,1766303331205,1766303331254,0,0,0
31,2,0,0,0,0,1766303336205,1766303336252,0,0,0
